topicID,lang,name,typeID,layer,description,version,url
COS3,en,Cosmetology,1,5,Study and application of beauty treatment – study of cosmetics.,1,https://en.wikipedia.org/wiki/Coprology
CRA1,en,Craniology,1,5,Pseudoscientific study of human characteristics according to shape of the skull – study of the skull.,1,https://en.wikipedia.org/wiki/Coprology
DRE1,en,Dance research,6,5,"Academic investigation of dance as art, cultural practice and embodied knowledge",1,https://en.wikipedia.org/wiki/Dioptrics
DEM2,en,Demology,1,5,study of human populations and behaviour.,1,https://en.wikipedia.org/wiki/Data_science
EGY1,en,Egyptology,1,5,Scientific study of ancient Egypt – study of ancient Egypt.,1,https://en.wikipedia.org/wiki/Edaphology
EID1,en,Eidology,1,5,study of mental imagery.,1,https://en.wikipedia.org/wiki/Edaphology
ELL1,en,Electrology,1,5,Method of hair removal – study of electricity.,1,https://en.wikipedia.org/wiki/Electrochemistry
EME1,en,Emetology,1,5,"Involuntary, forceful expulsion of stomach contents, typically via the mouth – study of vomiting.",1,https://en.wikipedia.org/wiki/Electrochemistry
EPI2,en,Epileptology,1,5,Physician specializing in epileptology – study of epilepsy.,1,https://en.wikipedia.org/wiki/Epidemiology
ERG1,en,Ergology,1,5,study of effects of work on humans.,1,https://en.wikipedia.org/wiki/Epidemiology
ERG2,en,Ergonomics,1,5,Designing systems to suit their users – study of people at work.,1,https://en.wikipedia.org/wiki/Epidemiology
ETB1,en,Ethnobiology,1,5,Study of how living things are used by human cultures – study of dynamic relationships between peoples.,1,https://en.wikipedia.org/wiki/Epidemiology
ETB2,en,Ethnobotany,1,5,Study of traditional plant use – study of a region's plants and their practical uses through the traditional knowledge of a local culture and people.,1,https://en.wikipedia.org/wiki/Epidemiology
ETC1,en,Ethnochoreology,1,5,Field of dance study – study of dances and its implication in culture.,1,https://en.wikipedia.org/wiki/Epidemiology
ETG1,en,Ethnogeny,1,5,study of origins of races or ethnic groups.,1,https://en.wikipedia.org/wiki/Epidemiology
ETL1,en,Ethnology,1,5,Branch of anthropology – study of cultures.,1,https://en.wikipedia.org/wiki/Ethology
ETM1,en,Ethnomethodology,1,5,Study of how social order is produced – study of everyday communication and social interaction.,1,https://en.wikipedia.org/wiki/Ethology
ETM2,en,Ethnomusicology,1,5,Study of the cultural aspects of music – study of comparative musical systems.,1,https://en.wikipedia.org/wiki/Ethology
FIN1,en,Finance,1,5,Academic discipline studying businesses and investments – science or study of money management.,1,https://en.wikipedia.org/wiki/Fluid_dynamics
FOL1,en,Folkloristics,1,5,Branch of anthropology – study of folklore and fables.,1,https://en.wikipedia.org/wiki/Fluid_mechanics
GAR1,en,Garbology,1,5,Study of modern refuse,1,https://en.wikipedia.org/wiki/Futurology
GEN3,en,Genealogy,1,5,Study of individual descent and bloodline – study of descent of families,1,https://en.wikipedia.org/wiki/Gemmology
GIG1,en,Gigantology,1,5,study of giants,1,https://en.wikipedia.org/wiki/Gerontology
GRM2,en,Grammatology,1,5,Study of graphemes and writing systems – study of systems of writing,1,https://en.wikipedia.org/wiki/Graminology
HEL2,en,Helcology,1,5,study of ulcers,1,https://en.wikipedia.org/wiki/Harmonics
